Rk,Player,Age,Team,Lg,WAR,AB,R,H,2B,3B,HR,RBI,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,Pos,Player-additional
561,Jorge Alfaro,32,WSN,NL,-0.3,39,3,10,2,0,0,3,14,0.256,0.256,0.308,0.564,60,0.271,66,12,2,alfarjo01
562,Ryan Bliss,25,SEA,AL,-0.2,35,1,7,1,0,1,3,11,0.2,0.282,0.314,0.596,74,0.253,73,11,4,blissry01
563,Cam Devanney,28,PIT,NL,-0.5,36,1,5,1,0,0,1,21,0.139,0.184,0.167,0.351,-1,0.151,-10,6,5/H,devanca01
564,Víctor Mesa Jr.*,23,MIA,NL,0.1,32,7,6,2,0,1,6,5,0.188,0.297,0.344,0.641,78,0.287,74,11,/798H,mesavi01
565,Bryce Eldridge*,20,SFG,NL,-0.2,28,1,3,2,0,0,4,13,0.107,0.297,0.179,0.476,42,0.243,53,5,/D3,eldribr01
566,Tomás Nido,31,DET,AL,-0.1,35,4,12,0,0,0,2,10,0.343,0.361,0.343,0.704,98,0.314,97,12,2/1,nidoto01
567,Zac Veen*,23,COL,NL,-0.3,34,1,4,1,0,1,2,14,0.118,0.189,0.235,0.424,13,0.182,-2,8,/79H,veenza01
568,José Miranda,27,MIN,AL,-0.3,36,2,6,0,0,1,5,13,0.167,0.167,0.25,0.417,13,0.177,-4,9,5/H,miranjo01
569,Jose Siri,29,NYM,NL,-0.5,32,7,2,2,0,0,1,17,0.063,0.167,0.125,0.292,-15,0.16,-17,4,8/H,sirijo01
570,Dominic Fletcher*,27,CHW,AL,0.3,32,5,7,5,0,1,2,2,0.219,0.265,0.469,0.733,100,0.315,95,15,/987,fletcdo01
571,Pablo Reyes,31,NYY,AL,-0.5,31,4,6,1,0,0,2,10,0.194,0.242,0.226,0.468,33,0.221,24,7,H/94517D,reyespa01
572,Sebastián Rivero,26,LAA,AL,-0.1,33,4,6,2,0,0,2,9,0.182,0.206,0.242,0.448,24,0.252,47,8,2,riverse01
573,Luke Williams,28,ATL,NL,-0.4,31,5,4,2,0,0,5,9,0.129,0.176,0.194,0.37,5,0.204,-4,6,6H/15D,willilu01
574,Aaron Schunk,27,COL,NL,-0.3,32,1,6,1,0,0,0,10,0.188,0.188,0.219,0.406,8,0.18,-13,7,/64H5D,schunaa01
575,Leo Jiménez,24,TOR,AL,-0.3,29,2,2,0,0,1,1,8,0.069,0.129,0.172,0.301,-18,0.167,-15,5,4/H6D,jimenle01
576,Shay Whitcomb,26,HOU,AL,-0.3,32,4,4,0,0,1,1,10,0.125,0.125,0.219,0.344,-7,0.171,-6,7,/45HD7,whitcsh01
577,Buddy Kennedy,26,3TM,2LG,-0.5,29,2,2,1,0,0,1,8,0.069,0.156,0.103,0.26,-25,0.158,-15,3,/53H4D,kennebu01
577,Buddy Kennedy,26,2TM,NL,-0.5,24,1,1,0,0,0,1,7,0.042,0.115,0.042,0.157,-53,0.121,-41,1,/53HD,kennebu01
577,Buddy Kennedy,26,PHI,NL,-0.1,7,0,0,0,0,0,0,2,0,0.125,0,0.125,-61,0.087,-69,0,/35DH,kennebu01
577,Buddy Kennedy,26,TOR,AL,-0.1,5,1,1,1,0,0,0,1,0.2,0.333,0.4,0.733,102,0.321,100,2,/45,kennebu01
577,Buddy Kennedy,26,LAD,NL,-0.3,17,1,1,0,0,0,1,5,0.059,0.111,0.059,0.17,-50,0.135,-29,1,/5H,kennebu01
578,Jose Barrero,27,STL,NL,-0.1,29,4,4,1,0,1,3,9,0.138,0.194,0.276,0.469,31,0.21,26,8,/H48695,garcijo02
579,Carson McCusker,27,MIN,AL,-0.6,29,0,5,0,0,0,1,16,0.172,0.2,0.172,0.372,5,0.151,-11,5,9/HD,mccusca01
580,Scott Kingery,31,LAA,AL,-0.5,27,3,4,1,0,0,0,11,0.148,0.207,0.185,0.392,11,0.167,-3,5,/4H8619,kingesc01
581,Nicky Lopez*,30,2TM,2LG,-0.4,24,2,1,0,0,0,1,4,0.042,0.179,0.042,0.22,-32,0.128,-29,1,5/6H147D,lopezni01
581,Nicky Lopez*,30,LAA,AL,-0.2,6,0,0,0,0,0,0,1,0,0,0,0,-100,0,-131,0,/5167,lopezni01
581,Nicky Lopez*,30,CHC,NL,-0.3,18,2,1,0,0,0,1,3,0.056,0.227,0.056,0.283,-12,0.163,-2,1,5/H64D,lopezni01
582,Owen Caissie*,22,CHC,NL,-0.1,26,4,5,1,0,1,4,11,0.192,0.222,0.346,0.568,62,0.247,58,9,/9H7D,caissow01
583,Luis Campusano,26,SDP,NL,-0.4,21,0,0,0,0,0,0,11,0,0.222,0,0.222,-31,0.155,-18,0,/DH,campulu01
584,Mason McCoy,30,SDP,NL,-0.2,22,5,3,1,0,0,1,7,0.136,0.269,0.182,0.451,29,0.272,52,4,6/H4D,mccoyma01
585,Grant McCray*,24,SFG,NL,-0.4,22,3,2,0,1,0,2,11,0.091,0.16,0.182,0.342,-2,0.155,-14,4,97/H8,mccragr01
586,Ji Hwan Bae*,25,PIT,NL,-0.4,20,4,1,0,0,0,0,9,0.05,0.24,0.05,0.29,-12,0.19,-4,1,/H78D9,baeji01
587,Michael Stefanic,29,TOR,AL,0,22,1,4,0,0,0,0,3,0.182,0.28,0.182,0.462,32,0.221,28,4,/4H16,stefami01
588,David Villar,28,SFG,NL,0,20,4,4,1,0,0,1,5,0.2,0.36,0.25,0.61,80,0.295,89,5,/3H5D,villada01
589,Tristin English,28,ARI,NL,-0.2,22,0,2,1,0,0,1,8,0.091,0.13,0.136,0.267,-26,0.124,-40,3,/3,englitr01
590,Niko Kavadas*,26,LAA,AL,-0.4,20,0,2,0,0,0,0,10,0.1,0.217,0.1,0.317,-7,0.167,-10,2,3/1H,kavadni01
